anime_id,Name,English name,Score,Genres,Type,Episodes,Aired,Premiered,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Image URL
66,Azumanga Daiou The Animation,Azumanga Daioh: The Animation,7.99,"Comedy, Slice of Life",TV,26,"Apr 9, 2002 to Oct 1, 2002",spring 2002,Finished Airing,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records","ADV Films, Sentai Filmworks",J.C.Staff,4-koma manga,24 min per ep,PG-13 - Teens 13 or older,603,668,6327,146773,327945,https://cdn.myanimelist.net/images/anime/1066/117358.jpg
67,Basilisk: Kouga Ninpou Chou,Basilisk,7.55,"Action, Drama, Romance",TV,24,"Apr 13, 2005 to Sep 21, 2005",spring 2005,Finished Airing,"GDH, Kodansha, Sotsu Music Publishing",Funimation,Gonzo,Manga,24 min per ep,R - 17+ (violence & profanity),1539,1213,1371,76398,182074,https://cdn.myanimelist.net/images/anime/1103/133549.jpg
68,Black Cat (TV),Black Cat,7.33,"Action, Adventure, Sci-Fi",TV,23,"Oct 7, 2005 to Mar 31, 2006",fall 2005,Finished Airing,"GDH, Dentsu, TBS, Sotsu Music Publishing",Funimation,Gonzo,Manga,24 min per ep,PG-13 - Teens 13 or older,2389,846,1779,127273,264622,https://cdn.myanimelist.net/images/anime/1183/133280.jpg
69,Cluster Edge,UNKNOWN,6.31,"Action, Fantasy, Sci-Fi",TV,25,"Oct 5, 2005 to Mar 29, 2006",fall 2005,Finished Airing,"Bandai Visual, Imagine",Sentai Filmworks,Sunrise,Original,24 min per ep,PG-13 - Teens 13 or older,7357,5917,13,2996,10561,https://cdn.myanimelist.net/images/anime/1980/103243.jpg
71,Full Metal Panic!,Full Metal Panic!,7.61,"Action, Comedy, Sci-Fi",TV,24,"Jan 8, 2002 to Jun 18, 2002",winter 2002,Finished Airing,"Kadokawa Shoten, KlockWorx","ADV Films, Funimation",Gonzo,Light novel,24 min per ep,R - 17+ (violence & profanity),1356,422,4326,236646,482069,https://cdn.myanimelist.net/images/anime/2/75259.jpg
72,Full Metal Panic? Fumoffu,Full Metal Panic? Fumoffu,8.03,"Action, Comedy",TV,12,"Aug 26, 2003 to Nov 18, 2003",summer 2003,Finished Airing,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do","ADV Films, Funimation",Kyoto Animation,Light novel,24 min per ep,PG-13 - Teens 13 or older,548,769,2907,171852,289064,https://cdn.myanimelist.net/images/anime/4/75260.jpg
73,Full Metal Panic! The Second Raid,Full Metal Panic! The Second Raid,7.93,Action,TV,13,"Jul 14, 2005 to Oct 20, 2005",summer 2005,Finished Airing,"WOWOW, Kadokawa Shoten, KlockWorx, Happinet Pictures","ADV Films, Funimation, Kadokawa Pictures USA",Kyoto Animation,Light novel,24 min per ep,R - 17+ (violence & profanity),682,878,1268,145898,255279,https://cdn.myanimelist.net/images/anime/11/75261.jpg
74,Gakuen Alice,Gakuen Alice,7.64,"Comedy, Fantasy",TV,26,"Oct 30, 2004 to May 14, 2005",fall 2004,Finished Airing,"Aniplex, Sogo Vision",Nozomi Entertainment,Group TAC,Manga,25 min per ep,G - All Ages,1276,1975,1397,50323,97186,https://cdn.myanimelist.net/images/anime/4/18118.jpg
75,Soukyuu no Fafner: Dead Aggressor,Fafner,7.26,"Action, Drama, Sci-Fi",TV,25,"Jul 5, 2004 to Dec 27, 2004",summer 2004,Finished Airing,"TV Tokyo Music, King Records","Funimation, Geneon Entertainment USA",Xebec,Original,24 min per ep,PG-13 - Teens 13 or older,2751,3000,260,14750,47077,https://cdn.myanimelist.net/images/anime/3/50365.jpg
76,Mahou Shoujo Lyrical Nanoha,Magical Girl Lyrical Nanoha,7.41,"Action, Comedy, Drama",TV,13,"Oct 3, 2004 to Dec 26, 2004",fall 2004,Finished Airing,"Starchild Records, Omnibus Japan",Geneon Entertainment USA,Seven Arcs,Original,25 min per ep,PG-13 - Teens 13 or older,2044,1921,1038,41202,101048,https://cdn.myanimelist.net/images/anime/1052/136283.jpg
77,Mahou Shoujo Lyrical Nanoha A's,Magical Girl Lyrical Nanoha A's,7.97,"Action, Comedy, Drama",TV,13,"Oct 2, 2005 to Dec 25, 2005",fall 2005,Finished Airing,"Starchild Records, Omnibus Japan",Geneon Entertainment USA,Seven Arcs,Original,25 min per ep,PG-13 - Teens 13 or older,622,2555,993,33024,63640,https://cdn.myanimelist.net/images/anime/4/6767.jpg
79,Shuffle!,Shuffle!,7.03,"Comedy, Drama, Fantasy, Romance, Ecchi",TV,24,"Jul 8, 2005 to Jan 6, 2006",summer 2005,Finished Airing,"Xebec, Lantis, Kadokawa Shoten, KlockWorx, Memory-Tech",Funimation,asread.,Visual novel,24 min per ep,R+ - Mild Nudity,3854,820,1461,133611,273378,https://cdn.myanimelist.net/images/anime/1290/133860.jpg
80,Kidou Senshi Gundam,Mobile Suit Gundam,7.76,"Action, Drama, Sci-Fi",TV,43,"Apr 7, 1979 to Jan 26, 1980",spring 1979,Finished Airing,"Sotsu, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,25 min per ep,PG-13 - Teens 13 or older,1005,1632,2140,56938,126804,https://cdn.myanimelist.net/images/anime/5/88524.jpg
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,Mobile Suit Gundam: The 08th MS Team,8.01,"Adventure, Drama, Romance, Sci-Fi",OVA,12,"Jan 25, 1996 to Jul 25, 1999",UNKNOWN,Finished Airing,Atelier Musa,Bandai Entertainment,Sunrise,Original,25 min per ep,PG-13 - Teens 13 or older,571,2231,1064,43859,79682,https://cdn.myanimelist.net/images/anime/9/75618.jpg
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,Mobile Suit Gundam 0080: War in the Pocket,7.96,"Drama, Sci-Fi",OVA,6,"Mar 25, 1989 to Aug 25, 1989",UNKNOWN,Finished Airing,Bandai Visual,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,27 min per ep,PG-13 - Teens 13 or older,630,2718,966,31259,56839,https://cdn.myanimelist.net/images/anime/1/82.jpg
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.76,"Drama, Romance, Sci-Fi",Movie,1,"Aug 1, 1998",UNKNOWN,Finished Airing,"Sotsu, Atelier Musa",Bandai Entertainment,Sunrise,Original,52 min,PG-13 - Teens 13 or older,5014,5384,3,6621,13284,https://cdn.myanimelist.net/images/anime/1132/100198.jpg
